"","DRUG_ID","SCREENING_SITE","DRUG_NAME","SYNONYMS","TARGET","TARGET_PATHWAY","drug_name","subtype","value","comparison","comparison_b","comparison_c"
"79",1912,"SANGER","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","GSK2110183C..GDSC2.1912.","MSS_TP53pos",0.205706278412009,"Unfavourable","Unfavourable",NA
"80",1912,"SANGER","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","GSK2110183C..GDSC2.1912.","MSI",0.153129275709804,"Unfavourable","Unfavourable","Unfavourable"
"81",1912,"SANGER","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","GSK2110183C..GDSC2.1912.","STAD_EBV",-0.149153740747685,"Favourable","Favourable",NA
"82",1918,"SANGER","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","AZD8186..GDSC2.1918.","STAD_GS",0.300898313881992,"Unfavourable","Unfavourable",NA
"83",1918,"SANGER","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","AZD8186..GDSC2.1918.","STAD_MSI",-0.335373562415717,"Favourable","Favourable",NA
"84",1918,"SANGER","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","AZD8186..GDSC2.1918.","MSI",0.228368376243819,"Unfavourable","Unfavourable","Unfavourable"
"85",1918,"SANGER","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","AZD8186..GDSC2.1918.","MSS_TP53neg",-0.0176511603508557,"Favourable",NA,"Favourable"
"86",1918,"SANGER","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","AZD8186..GDSC2.1918.","MSS_TP53pos",0.0596551507742825,"Unfavourable","Unfavourable",NA
"87",1918,"SANGER","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","AZD8186..GDSC2.1918.","STAD_CIN",0.094641988145242,"Unfavourable","Unfavourable","Unfavourable"
"88",1918,"SANGER","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","AZD8186..GDSC2.1918.","High_cal",0.240456181972921,"Unfavourable","Unfavourable",NA
"89",1918,"SANGER","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","AZD8186..GDSC2.1918.","EMT",-0.296212983321425,"Favourable","Favourable",NA
"90",1918,"SANGER","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","AZD8186..GDSC2.1918.","STAD_EBV",0.132591885853446,"Favourable","Favourable",NA
"91",1924,"SANGER","Ipatasertib","GDC0068, GDC 0068, GDC-0068","AKT1, AKT, AKT3","PI3K/MTOR signaling","GDC.0068..GDSC2.1924.","MSI",0.293168861244975,"Unfavourable","Unfavourable","Unfavourable"
