"","Accuracy","Kappa","Brier_score","Model","FS"
"acrg_models14.5",0.637931034482759,0.494186046511628,0.563218390804598,"KNN GBM","GBM"
"acrg_models14.6",0.706896551724138,0.595901639344262,0.339293316304811,"KNN GBM","GBM"
"acrg_models14.7",0.637931034482759,0.496277915632754,0.444857386121754,"KNN GBM","GBM"
"acrg_models14.8",0.689655172413793,0.562080536912752,0.437739463601533,"KNN GBM","GBM"
"acrg_models14.9",0.655172413793103,0.51706910907577,0.463754789272031,"KNN GBM","GBM"
"acrg_models14.10",0.724137931034483,0.615575807787904,0.384818007662835,"KNN GBM","GBM"
"acrg_models15.1",0.844827586206897,0.78659035159444,0.222783863804622,"SVM GBM","GBM"
"acrg_models15.2",0.741379310344828,0.649193548387097,0.388961214699722,"SVM GBM","GBM"
"acrg_models15.3",0.810344827586207,0.735708367854184,0.247979701928777,"SVM GBM","GBM"
"acrg_models15.4",0.810344827586207,0.741071428571428,0.270644615174744,"SVM GBM","GBM"
"acrg_models15.5",0.724137931034483,0.623070674248578,0.377426275073712,"SVM GBM","GBM"
"acrg_models15.6",0.775862068965517,0.691236691236691,0.299939362234267,"SVM GBM","GBM"
"acrg_models15.7",0.741379310344828,0.646915584415584,0.346147041491293,"SVM GBM","GBM"
"acrg_models15.8",0.672413793103448,0.545379537953795,0.407818473050804,"SVM GBM","GBM"
"acrg_models15.9",0.810344827586207,0.739804241435563,0.311663670390215,"SVM GBM","GBM"
"acrg_models15.10",0.741379310344828,0.647487844408428,0.321046608539393,"SVM GBM","GBM"
"acrg_models16.1",0.793103448275862,0.712158808933003,0.297914080231661,"NNET GBM","GBM"
"acrg_models16.2",0.706896551724138,0.598860862489829,0.467660704698993,"NNET GBM","GBM"
"acrg_models16.3",0.775862068965517,0.690221857025472,0.288308101924441,"NNET GBM","GBM"
"acrg_models16.4",0.758620689655172,0.666392769104355,0.318407516478986,"NNET GBM","GBM"
"acrg_models16.5",0.724137931034483,0.620605069501227,0.365224573169735,"NNET GBM","GBM"
"acrg_models16.6",0.793103448275862,0.715220949263502,0.302867051711416,"NNET GBM","GBM"
"acrg_models16.7",0.810344827586207,0.739804241435563,0.290112330386267,"NNET GBM","GBM"
"acrg_models16.8",0.620689655172414,0.470099667774086,0.448486763949854,"NNET GBM","GBM"
"acrg_models16.9",0.706896551724138,0.592561983471074,0.358159539959393,"NNET GBM","GBM"
"acrg_models16.10",0.758620689655172,0.669381107491857,0.342806954648344,"NNET GBM","GBM"
"acrg_models17.1",0.775862068965517,0.691489361702128,0.279794365750314,"Full SVM","Full"
"acrg_models17.2",0.758620689655172,0.666392769104355,0.318685583950101,"Full SVM","Full"
"acrg_models17.3",0.775862068965517,0.686356073211314,0.297030802505307,"Full SVM","Full"
"acrg_models17.4",0.810344827586207,0.73937908496732,0.280632907244233,"Full SVM","Full"
"acrg_models17.5",0.741379310344828,0.648342764753436,0.31168346988728,"Full SVM","Full"
"acrg_models17.6",0.810344827586207,0.741491085899514,0.289340846847401,"Full SVM","Full"
"acrg_models17.7",0.706896551724138,0.599186991869919,0.353105640276501,"Full SVM","Full"
"acrg_models17.8",0.689655172413793,0.565723793677205,0.407003088553353,"Full SVM","Full"
"acrg_models17.9",0.810344827586207,0.738524590163934,0.281507060975624,"Full SVM","Full"
"acrg_models17.10",0.741379310344828,0.646628757108042,0.3557492025218,"Full SVM","Full"
"acrg_models18.1",0.913793103448276,0.882113821138212,0.19786498427781,"Elastic Net SVM","SVM"
"acrg_models18.2",0.724137931034483,0.615575807787904,0.356958675319101,"Elastic Net SVM","SVM"
"acrg_models18.3",0.810344827586207,0.734166666666667,0.249131119363526,"Elastic Net SVM","SVM"
"acrg_models18.4",0.879310344827586,0.834825061025224,0.197092271911676,"Elastic Net SVM","SVM"
"acrg_models18.5",0.810344827586207,0.735927152317881,0.27900319482771,"Elastic Net SVM","SVM"
"acrg_models18.6",0.827586206896552,0.76461038961039,0.238347696509118,"Elastic Net SVM","SVM"
"acrg_models18.7",0.758620689655172,0.666940114848236,0.318555187723806,"Elastic Net SVM","SVM"
"acrg_models18.8",0.775862068965517,0.688429752066116,0.295479247904866,"Elastic Net SVM","SVM"
"acrg_models18.9",0.775862068965517,0.687913907284768,0.286216471053642,"Elastic Net SVM","SVM"
"acrg_models18.10",0.741379310344828,0.647201946472019,0.37881930137348,"Elastic Net SVM","SVM"
"acrg_models19.1",0.793103448275862,0.719128329297821,0.350262343239056,"NB SVM","SVM"
"acrg_models19.2",0.689655172413793,0.578352180936995,0.533226639679877,"NB SVM","SVM"
